,FileName,Label,ClassName
60,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Robert W Chambers\Robert+W+Chambers-14852-14852-8.Txt,86,Robert W Chambers
61,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-18833-18833.Txt,36,G A Henty
62,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R M Ballantyne\R+M+Ballantyne-21707-21707.Txt,81,R M Ballantyne
63,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-20729-20729.Txt,36,G A Henty
64,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Bernard Shaw\Bernard+Shaw-1654-1654.Txt,11,Bernard Shaw
65,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Charlotte Mary Yonge\Charlotte+Mary+Yonge-4296-4296.Txt,14,Charlotte Mary Yonge
66,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Edgar Allan Poe\Edgar+Allan+Poe-2149-2149-8.Txt,19,Edgar Allan Poe
67,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Gustave Flaubert\Gustave+Flaubert-27537-27537-8.Txt,45,Gustave Flaubert
68,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Joseph Conrad\Joseph+Conrad-1143-1143.Txt,63,Joseph Conrad
69,C:\Users\nivmizrahi\PycharmProjects\PRO\books\E Phillips Oppenheim\E+Phillips+Oppenheim-1447-1447.Txt,18,E Phillips Oppenheim
70,C:\Users\nivmizrahi\PycharmProjects\PRO\books\William Harrison Ainsworth\William+Harrison+Ainsworth-15493-15493-8.Txt,102,William Harrison Ainsworth
71,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Edith Wharton\Edith+Wharton-4519-4519.Txt,21,Edith Wharton
72,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Robert Hugh Benson\Robert+Hugh+Benson-14275-14275-8.Txt,84,Robert Hugh Benson
73,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anton Pavlovich Chekhov\Anton+Pavlovich+Chekhov-13416-13416-8.Txt,6,Anton Pavlovich Chekhov
74,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Joseph Conrad\Joseph+Conrad-1083-1083-0.Txt,63,Joseph Conrad
75,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Thomas Bulfinch\Thomas+Bulfinch-4928-Bllfn10.Txt,94,Thomas Bulfinch
76,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Mary Lamb\Mary+Lamb-20657-20657-8.Txt,72,Mary Lamb
77,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Rafael Sabatini\Rafael+Sabatini-2636-2636.Txt,82,Rafael Sabatini
78,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Andrew Lang\Andrew+Lang-5615-5615-8.Txt,2,Andrew Lang
79,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Jerome K Jerome\Jerome+K+Jerome-1915-1915.Txt,57,Jerome K Jerome
80,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R M Ballantyne\R+M+Ballantyne-23505-23505.Txt,81,R M Ballantyne
81,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R Austin Freeman\R+Austin+Freeman-12187-12187.Txt,80,R Austin Freeman
82,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Charlotte Mary Yonge\Charlotte+Mary+Yonge-2505-2505-8.Txt,14,Charlotte Mary Yonge
83,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Wilkie Collins\Wilkie+Collins-1624-1624.Txt,100,Wilkie Collins
84,C:\Users\nivmizrahi\PycharmProjects\PRO\books\James Oliver Curwood\James+Oliver+Curwood-4702-4702.Txt,55,James Oliver Curwood
85,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emma Dorothy Eliza Nevitte Southworth\Emma+Dorothy+Eliza+Nevitte+Southworth-16039-16039-8.Txt,31,Emma Dorothy Eliza Nevitte Southworth
86,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Robert Hugh Benson\Robert+Hugh+Benson-15992-15992-8.Txt,84,Robert Hugh Benson
87,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Sax Rohmer\Sax+Rohmer-17959-17959-8.Txt,87,Sax Rohmer
88,C:\Users\nivmizrahi\PycharmProjects\PRO\books\George Gissing\George+Gissing-4308-4308.Txt,39,George Gissing
89,C:\Users\nivmizrahi\PycharmProjects\PRO\books\George Barr Mccutcheon\George+Barr+Mccutcheon-5142-Grstk10.Txt,38,George Barr Mccutcheon
90,C:\Users\nivmizrahi\PycharmProjects\PRO\books\George Gissing\George+Gissing-4305-4305.Txt,39,George Gissing
91,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Hall Caine\Hall+Caine-26088-26088-8.Txt,48,Hall Caine
92,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-17766-17766.Txt,36,G A Henty
93,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-24000-24000-8.Txt,5,Anthony Trollope
94,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Henry Rider Haggard\Henry+Rider+Haggard-5174-5174-8.Txt,49,Henry Rider Haggard
95,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Henry Rider Haggard\Henry+Rider+Haggard-3094-3094-8.Txt,49,Henry Rider Haggard
96,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Andre Norton\Andre+Norton-19145-19145.Txt,1,Andre Norton
97,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Arnold Bennett\Arnold+Bennett-10658-10658-10658.Txt,7,Arnold Bennett
98,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-29828-29828-8.Txt,5,Anthony Trollope
99,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Arnold Bennett\Arnold+Bennett-12986-12986-8.Txt,7,Arnold Bennett
100,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Frederick Marryat\Frederick+Marryat-21549-21549.Txt,35,Frederick Marryat
101,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Frederick Marryat\Frederick+Marryat-21557-21557.Txt,35,Frederick Marryat
102,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Louisa May Alcott\Louisa+May+Alcott-2804-2804-8.Txt,68,Louisa May Alcott
103,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emily Sarah Holt\Emily+Sarah+Holt-23766-23766.Txt,30,Emily Sarah Holt
104,C:\Users\nivmizrahi\PycharmProjects\PRO\books\James Fenimore Cooper\James+Fenimore+Cooper-10434-10434.Txt,54,James Fenimore Cooper
105,C:\Users\nivmizrahi\PycharmProjects\PRO\books\William Makepeace Thackeray\William+Makepeace+Thackeray-29363-29363-8.Txt,103,William Makepeace Thackeray
106,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-4932-4932.Txt,36,G A Henty
107,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Honore De Balzac\Honore+De+Balzac-1559-1559.Txt,53,Honore De Balzac
108,C:\Users\nivmizrahi\PycharmProjects\PRO\books\B M Bower\B+M+Bower-1740-1740.Txt,9,B M Bower
109,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Susan Warner\Susan+Warner-23584-23584-8.Txt,90,Susan Warner
110,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Martha Finley\Martha+Finley-14566-14566.Txt,70,Martha Finley
111,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Sewell Ford\Sewell+Ford-20628-20628-8.Txt,88,Sewell Ford
112,C:\Users\nivmizrahi\PycharmProjects\PRO\books\James Oliver Curwood\James+Oliver+Curwood-29407-29407-8.Txt,55,James Oliver Curwood
113,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R M Ballantyne\R+M+Ballantyne-21692-21692.Txt,81,R M Ballantyne
114,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Edgar Wallace\Edgar+Wallace-27525-27525-8.Txt,20,Edgar Wallace
115,C:\Users\nivmizrahi\PycharmProjects\PRO\books\P G Wodehouse\P+G+Wodehouse-20533-20533-8.Txt,79,P G Wodehouse
116,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Victor Hugo\Victor+Hugo-2523-2523-8.Txt,97,Victor Hugo
117,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emily Sarah Holt\Emily+Sarah+Holt-21235-21235.Txt,30,Emily Sarah Holt
118,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Herman Melville\Herman+Melville-13720-13720.Txt,51,Herman Melville
119,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Edward Bulwer Lytton Lytton\Edward+Bulwer+Lytton+Lytton-2664-2664.Txt,23,Edward Bulwer Lytton Lytton
120,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Mary Eleanor Wilkins Freeman\Mary+Eleanor+Wilkins+Freeman-17566-17566.Txt,71,Mary Eleanor Wilkins Freeman
121,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-5118-Mrcsn10.Txt,5,Anthony Trollope
122,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Edith Wharton\Edith+Wharton-11052-11052.Txt,21,Edith Wharton
123,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Frederick Marryat\Frederick+Marryat-21553-21553.Txt,35,Frederick Marryat
124,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Andre Norton\Andre+Norton-20840-20840-8.Txt,1,Andre Norton
125,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Grace S Richmond\Grace+S+Richmond-12164-12164.Txt,44,Grace S Richmond
126,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Mary Roberts Rinehart\Mary+Roberts+Rinehart-1590-1590-8.Txt,73,Mary Roberts Rinehart
127,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Wilkie Collins\Wilkie+Collins-28367-28367-8.Txt,100,Wilkie Collins
128,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Upton Sinclair\Upton+Sinclair-1558-Prfrl10.Txt,96,Upton Sinclair
129,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Zane Grey\Zane+Grey-1239-1239.Txt,105,Zane Grey
130,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Martha Finley\Martha+Finley-14379-14379-8.Txt,70,Martha Finley
131,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R M Ballantyne\R+M+Ballantyne-21720-21720.Txt,81,R M Ballantyne
132,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-22000-22000-8.Txt,5,Anthony Trollope
133,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anna Katharine Green\Anna+Katharine+Green-21904-21904-8.Txt,4,Anna Katharine Green
134,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Homer\Homer-24269-24269-8.Txt,52,Homer
135,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Fergus Hume\Fergus+Hume-4946-Mdmmd10.Txt,33,Fergus Hume
136,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-17403-17403.Txt,36,G A Henty
137,C:\Users\nivmizrahi\PycharmProjects\PRO\books\William Makepeace Thackeray\William+Makepeace+Thackeray-2675-2675.Txt,103,William Makepeace Thackeray
138,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-25579-25579-8.Txt,5,Anthony Trollope
139,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-18813-18813.Txt,36,G A Henty
140,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Grace S Richmond\Grace+S+Richmond-20719-20719-8.Txt,44,Grace S Richmond
141,C:\Users\nivmizrahi\PycharmProjects\PRO\books\James Oliver Curwood\James+Oliver+Curwood-4539-4539.Txt,55,James Oliver Curwood
142,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Benjamin Disraeli\Benjamin+Disraeli-20002-20002-8.Txt,10,Benjamin Disraeli
143,C:\Users\nivmizrahi\PycharmProjects\PRO\books\H Beam Piper\H+Beam+Piper-20727-20727.Txt,46,H Beam Piper
144,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-3166-3166-8.Txt,5,Anthony Trollope
145,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Henry Rider Haggard\Henry+Rider+Haggard-11882-11882.Txt,49,Henry Rider Haggard
146,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-3785-3785.Txt,36,G A Henty
147,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emerson Hough\Emerson+Hough-14355-14355-8.Txt,27,Emerson Hough
148,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Jeffery Farnol\Jeffery+Farnol-10418-10418-10418.Txt,56,Jeffery Farnol
149,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Wilkie Collins\Wilkie+Collins-1975-1975.Txt,100,Wilkie Collins
150,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Elizabeth Cleghorn Gaskell\Elizabeth+Cleghorn+Gaskell-2524-2524.Txt,26,Elizabeth Cleghorn Gaskell
151,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Angela Brazil\Angela+Brazil-25145-25145-8.Txt,3,Angela Brazil
152,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G Maspero\G+Maspero-17326-17326-8.Txt,37,G Maspero
153,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emile Gaboriau\Emile+Gaboriau-4002-4002.Txt,28,Emile Gaboriau
154,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G Maspero\G+Maspero-17322-17322-8.Txt,37,G Maspero
155,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Martha Finley\Martha+Finley-14280-14280.Txt,70,Martha Finley
156,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Mrs Oliphant\Mrs+Oliphant-28006-28006-8.Txt,76,Mrs Oliphant
157,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R M Ballantyne\R+M+Ballantyne-21753-21753.Txt,81,R M Ballantyne
158,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Jeffery Farnol\Jeffery+Farnol-5257-Brhgw10.Txt,56,Jeffery Farnol
159,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emile Gaboriau\Emile+Gaboriau-3803-3803.Txt,28,Emile Gaboriau
160,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Zane Grey\Zane+Grey-2057-2057.Txt,105,Zane Grey
161,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Leo Tolstoy\Leo+Tolstoy-1399-1399-8.Txt,67,Leo Tolstoy
162,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Rex Ellingwood Beach\Rex+Ellingwood+Beach-5405-Nrdwl10.Txt,83,Rex Ellingwood Beach
163,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emmuska Orczy Orczy\Emmuska+Orczy+Orczy-25955-25955-8.Txt,32,Emmuska Orczy Orczy
164,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Henry Rider Haggard\Henry+Rider+Haggard-5746-5746-8.Txt,49,Henry Rider Haggard
165,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anton Pavlovich Chekhov\Anton+Pavlovich+Chekhov-1883-1883.Txt,6,Anton Pavlovich Chekhov
166,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Jeffery Farnol\Jeffery+Farnol-10064-10064.Txt,56,Jeffery Farnol
167,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Joseph Conrad\Joseph+Conrad-5658-5658.Txt,63,Joseph Conrad
168,C:\Users\nivmizrahi\PycharmProjects\PRO\books\L M Montgomery\L+M+Montgomery-5343-Rnbvl10.Txt,65,L M Montgomery
169,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Honore De Balzac\Honore+De+Balzac-1856-1856.Txt,53,Honore De Balzac
170,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Arnold Bennett\Arnold+Bennett-21249-21249.Txt,7,Arnold Bennett
171,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Mary Roberts Rinehart\Mary+Roberts+Rinehart-2714-2714.Txt,73,Mary Roberts Rinehart
172,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-29756-29756-8.Txt,36,G A Henty
173,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Henry Rider Haggard\Henry+Rider+Haggard-5228-5228.Txt,49,Henry Rider Haggard
174,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Charles Kingsley\Charles+Kingsley-10364-10364.Txt,13,Charles Kingsley
175,C:\Users\nivmizrahi\PycharmProjects\PRO\books\John Ruskin\John+Ruskin-29907-29907-8.Txt,60,John Ruskin
176,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emile Zola\Emile+Zola-1069-1069.Txt,29,Emile Zola
177,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Thomas De Quincey\Thomas+De+Quincey-23788-23788-8.Txt,95,Thomas De Quincey
178,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Mary Eleanor Wilkins Freeman\Mary+Eleanor+Wilkins+Freeman-17564-17564.Txt,71,Mary Eleanor Wilkins Freeman
179,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Jules Verne\Jules+Verne-3748-8Jrny10.Txt,64,Jules Verne
180,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Honore De Balzac\Honore+De+Balzac-1749-1749.Txt,53,Honore De Balzac
181,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Susan Warner\Susan+Warner-18689-18689-8.Txt,90,Susan Warner
182,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Winston Churchill\Winston+Churchill-5373-5373.Txt,104,Winston Churchill
183,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G A Henty\G+A+Henty-18356-18356.Txt,36,G A Henty
184,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Emerson Hough\Emerson+Hough-26367-26367-8.Txt,27,Emerson Hough
185,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Zane Grey\Zane+Grey-29080-29080-8.Txt,105,Zane Grey
186,C:\Users\nivmizrahi\PycharmProjects\PRO\books\H G Wells\H+G+Wells-1013-1013.Txt,47,H G Wells
187,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Anthony Trollope\Anthony+Trollope-23000-23000-8.Txt,5,Anthony Trollope
188,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Daniel Defoe\Daniel+Defoe-11239-11239.Txt,15,Daniel Defoe
189,C:\Users\nivmizrahi\PycharmProjects\PRO\books\R M Ballantyne\R+M+Ballantyne-21726-21726.Txt,81,R M Ballantyne
190,C:\Users\nivmizrahi\PycharmProjects\PRO\books\Frances Hodgson Burnett\Frances+Hodgson+Burnett-17396-17396-8.Txt,34,Frances Hodgson Burnett
191,C:\Users\nivmizrahi\PycharmProjects\PRO\books\L M Montgomery\L+M+Montgomery-24873-24873-8.Txt,65,L M Montgomery
192,C:\Users\nivmizrahi\PycharmProjects\PRO\books\G Maspero\G+Maspero-17329-17329-8.Txt,37,G Maspero
